nodes	Type
NFkB	Process
Vitamin_B12	Process
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	Process
Overview of nanoparticle effects%WikiPathways_20181110%WP3287%Homo sapiens	Process
Diseases	Process
Cytokines	Process
Fibrin Complement Receptor 3 Signaling Pathway%WikiPathways_20181110%WP4136%Homo sapiens	Process
Inflammation	Process
Allograft_rejection	Process
Immune_cell_regulation	Process
7205	Gene
841	Gene
1147	Gene
257397	Gene
2919	InflGene
8767	Gene
7124	InflGene
330	Gene
6347	InflGene
331	Gene
6352	InflGene
10392	InflGene
84674	Gene
6357	Gene
6356	InflGene
6355	Gene
22900	Gene
6354	Gene
4210	InflGene
3576	InflGene
5601	Gene
5602	Gene
5600	Gene
55914	Gene
5603	Gene
838	Gene
3551	Gene
64127	InflGene
6885	Gene
834	InflGene
59082	Gene
7128	InflGene
10910	Gene
5595	Gene
9051	Gene
4790	InflGene
4793	Gene
4792	Gene
5594	Gene
8517	Gene
64170	Gene
5599	Gene
1432	InflGene
6300	Gene
3606	InflGene
5970	InflGene
260434	Gene
7189	Gene
3320	Gene
29108	Gene
23118	Gene
58484	Gene
3553	InflGene
7184	Gene
114548	InflGene
22861	Gene
4671	Gene
329	Gene
2920	InflGene
3326	Gene
10454	Gene
3569	InflGene
11035	Gene
148022	Gene
177	InflGene
3146	InflGene
351	Gene
4791	Gene
6283	InflGene
6285	Gene
6288	InflGene
7098	InflGene
81030	Gene
8737	Gene
3654	Gene
3656	Gene
6472	Gene
5340	Gene
326625	Gene
2155	Gene
3043	Gene
3039	Gene
2147	InflGene
875	Gene
3630	Gene
4524	Gene
6948	Gene
6947	Gene
102465534	Gene
12	Gene
4143	Gene
6289	Gene
8029	Gene
19	Gene
3643	Gene
4594	Gene
4353	InflGene
4552	Gene
4036	Gene
2694	Gene
6290	Gene
3383	InflGene
6291	Gene
3458	InflGene
213	Gene
335	InflGene
338	Gene
6647	InflGene
6649	Gene
4548	Gene
6648	Gene
100129518	Gene
5054	InflGene
1491	Gene
3949	Gene
1401	InflGene
348	Gene
84693	Gene
5327	InflGene
949	Gene
9760	Gene
2672	Gene
196	Gene
6095	Gene
2625	InflGene
374	Gene
6927	Gene
64806	Gene
3578	Gene
51561	InflGene
30009	InflGene
50616	InflGene
85480	InflGene
8320	Gene
4783	Gene
3398	Gene
3574	Gene
3596	InflGene
3593	InflGene
3592	InflGene
64919	Gene
3600	InflGene
3567	Gene
3565	Gene
90865	InflGene
7704	Gene
3605	InflGene
8991	Gene
7941	Gene
2205	Gene
2149	Gene
3554	Gene
1232	Gene
1839	Gene
7077	Gene
7076	InflGene
100313781	Gene
5290	Gene
6280	InflGene
7097	InflGene
7096	Gene
4318	InflGene
4615	InflGene
3681	Gene
1282	Gene
3162	InflGene
581	Gene
5293	Gene
596	Gene
2335	Gene
896	Gene
1001	Gene
3909	Gene
5742	Gene
10000	Gene
5743	InflGene
4798	Gene
5747	Gene
6351	InflGene
3082	Gene
653509	Gene
5265	InflGene
7040	InflGene
4092	Gene
57105	Gene
1215	Gene
796	InflGene
3479	Gene
6348	InflGene
4204	Gene
5154	Gene
4780	Gene
6440	Gene
7015	Gene
5155	Gene
729230	Gene
729238	Gene
727897	Gene
5073	Gene
23250	Gene
1906	InflGene
10144	Gene
6696	InflGene
91039	Gene
6498	Gene
1440	Gene
2252	Gene
79991	Gene
1437	InflGene
1832	Gene
2006	Gene
2247	InflGene
1950	Gene
2246	Gene
655	Gene
4502	Gene
7039	Gene
1051	Gene
1490	Gene
5806	InflGene
255520	Gene
51750	Gene
26585	Gene
4313	InflGene
5328	Gene
7099	InflGene
7100	Gene
7334	Gene
92610	Gene
7335	Gene
3552	InflGene
51284	Gene
81793	Gene
51311	Gene
54106	InflGene
10333	Gene
3725	Gene
7422	InflGene
595	Gene
3558	Gene
332	Gene
597	Gene
599	Gene
959	InflGene
7132	InflGene
6401	InflGene
5971	Gene
112398	Gene
7412	InflGene
4312	InflGene
4314	InflGene
5966	Gene
8837	Gene
7187	Gene
132014	Gene
112744	Gene
6774	InflGene
23765	Gene
84818	Gene
9020	Gene
53342	Gene
3716	Gene
3717	InflGene
10758	Gene
55540	Gene
27189	Gene
6667	Gene
54756	Gene
1052	Gene
2932	Gene
27190	Gene
207	InflGene
5580	Gene
6198	Gene
5781	Gene
6772	Gene
6654	Gene
3065	Gene
9021	Gene
572	Gene
2885	Gene
598	Gene
8648	Gene
639	Gene
5879	Gene
51701	Gene
2549	Gene
3659	InflGene
7297	Gene
5295	Gene
5296	Gene
6464	Gene
7432	InflGene
3055	Gene
3572	Gene
3570	Gene
2063	Gene
183	Gene
3726	Gene
1387	Gene
6416	Gene
5604	Gene
5605	Gene
7409	Gene
3123	Gene
3562	Gene
3122	Gene
1435	InflGene
3456	Gene
105369230	Gene
3589	Gene
3586	InflGene
920	Gene
929	Gene
114609	Gene
6850	Gene
3661	Gene
3684	Gene
23643	Gene
2921	Gene
83593	Gene
4843	InflGene
353376	Gene
387	Gene
3929	Gene
51135	Gene
7305	Gene
868	Gene
3689	Gene
6714	Gene
3627	InflGene
56729	InflGene
5291	Gene
5294	Gene
208	Gene
23236	Gene
5330	Gene
5331	Gene
5332	Gene
5335	Gene
5336	Gene
5333	Gene
84812	Gene
113026	Gene
51196	Gene
3708	Gene
80142	Gene
5731	Gene
5732	Gene
5733	Gene
5734	Gene
2099	Gene
1588	Gene
3845	Gene
4893	Gene
3265	Gene
673	Gene
51365	Gene
1956	Gene
4057	InflGene
54210	Gene
3439	Gene
941	Gene
942	Gene
940	Gene
355	InflGene
1493	Gene
718	InflGene
727	InflGene
729	Gene
730	Gene
3676	Gene
3683	Gene
3688	Gene
3827	InflGene
6403	InflGene
6404	Gene
51295	Gene
3556	Gene
3557	InflGene
11213	Gene
5606	Gene
5608	Gene
4212	Gene
7042	Gene
7043	Gene
54472	Gene
6384	Gene
1230	Gene
1233	Gene
1234	Gene
1236	InflGene
2833	InflGene
7852	Gene
3459	Gene
3460	Gene
3594	Gene
3595	Gene
8809	Gene
3566	InflGene
644	Gene
645	Gene
3587	Gene
3588	Gene
6773	Gene
7214	Gene
