pathway	entrezgene	hgnc_symbol
NFkB	7205	TRIP6
NFkB	841	CASP8
NFkB	1147	CHUK
NFkB	257397	TAB3
NFkB	2919	CXCL1
NFkB	8767	RIPK2
NFkB	7124	TNF
NFkB	330	BIRC3
NFkB	6347	CCL2
NFkB	331	XIAP
NFkB	6352	CCL5
NFkB	10392	NOD1
NFkB	84674	CARD6
NFkB	6357	CCL13
NFkB	6356	CCL11
NFkB	6355	CCL8
NFkB	22900	CARD8
NFkB	6354	CCL7
NFkB	4210	MEFV
NFkB	3576	CXCL8
NFkB	5601	MAPK9
NFkB	5602	MAPK10
NFkB	5600	MAPK11
NFkB	55914	ERBIN
NFkB	5603	MAPK13
NFkB	838	CASP5
NFkB	3551	IKBKB
NFkB	64127	NOD2
NFkB	6885	MAP3K7
NFkB	834	CASP1
NFkB	59082	CARD18
NFkB	7128	TNFAIP3
NFkB	10910	SUGT1
NFkB	5595	MAPK3
NFkB	9051	PSTPIP1
NFkB	4790	NFKB1
NFkB	4793	NFKBIB
NFkB	4792	NFKBIA
NFkB	5594	MAPK1
NFkB	8517	IKBKG
NFkB	64170	CARD9
NFkB	5599	MAPK8
NFkB	1432	MAPK14
NFkB	6300	MAPK12
NFkB	3606	IL18
NFkB	5970	RELA
NFkB	260434	PYDC1
NFkB	7189	TRAF6
NFkB	3320	HSP90AA1
NFkB	29108	PYCARD
NFkB	23118	TAB2
NFkB	58484	NLRC4
NFkB	3553	IL1B
NFkB	7184	HSP90B1
NFkB	114548	NLRP3
NFkB	22861	NLRP1
NFkB	4671	NAIP
NFkB	329	BIRC2
NFkB	2920	CXCL2
NFkB	3326	HSP90AB1
NFkB	10454	TAB1
NFkB	3569	IL6
NFkB	11035	RIPK3
NFkB	148022	
NFkB	177	AGER
NFkB	3146	HMGB1
NFkB	351	APP
NFkB	4791	NFKB2
NFkB	6283	S100A12
NFkB	6285	S100B
NFkB	6288	SAA1
NFkB	7098	TLR3
NFkB	81030	ZBP1
NFkB	8737	RIPK1
NFkB	3654	IRAK1
NFkB	3656	IRAK2
NFkB	23586	DDX58
NFkB	4214	MAP3K1
NFkB	57506	MAVS
NFkB	64135	IFIH1
NFkB	7186	TRAF2
NFkB	7706	TRIM25
NFkB	84282	RNF135
NFkB	3665	IRF7
NFkB	387522	TMEM189-UBE2V1
NFkB	4615	MYD88
NFkB	51135	IRAK4
NFkB	51284	TLR7
NFkB	51311	TLR8
NFkB	54106	TLR9
NFkB	7334	UBE2N
Inflammation	1650	DDOST
Inflammation	177	AGER
Inflammation	3146	HMGB1
Inflammation	351	APP
Inflammation	3958	LGALS3
Inflammation	5589	PRKCSH
Inflammation	5594	MAPK1
Inflammation	5595	MAPK3
Inflammation	6283	S100A12
Inflammation	6285	S100B
Inflammation	6288	SAA1
Inflammation	829	CAPZA1
Inflammation	830	CAPZA2
Cytokines	3569	IL6
Cytokines	3570	IL6R
Cytokines	3572	IL6ST
Cytokines	3716	JAK1
Cytokines	3717	JAK2
Cytokines	6772	STAT1
Cytokines	6774	STAT3
Cytokines	7297	TYK2
Cytokines	867	CBL
Cytokines	9021	SOCS3
Inflammation	10628	TXNIP
Inflammation	114548	NLRP3
Inflammation	24145	PANX1
Inflammation	29108	PYCARD
Inflammation	3326	HSP90AB1
Inflammation	4210	MEFV
Inflammation	5027	P2RX7
Inflammation	7295	TXN
Inflammation	834	CASP1
Inflammation	9051	PSTPIP1
Complement	10747	MASP2
Complement	1401	CRP
Complement	4153	MBL2
Complement	5648	MASP1
Complement	712	C1QA
Complement	713	C1QB
Complement	714	C1QC
Complement	716	C1S
Vitamin B12	6472	SHMT2
Vitamin B12	5340	PLG
Vitamin B12	326625	MMAB
Vitamin B12	6352	CCL5
Vitamin B12	7124	TNF
Vitamin B12	2155	F7
Vitamin B12	3043	HBB
Vitamin B12	3039	HBA1
Vitamin B12	2147	F2
Vitamin B12	875	CBS
Vitamin B12	3553	IL1B
Vitamin B12	3630	INS
Vitamin B12	6347	CCL2
Vitamin B12	4524	MTHFR
Vitamin B12	6948	TCN2
Vitamin B12	6947	TCN1
Vitamin B12	12	SERPINA3
Vitamin B12	4143	MAT1A
Vitamin B12	6289	SAA2
Vitamin B12	8029	CUBN
Vitamin B12	6288	SAA1
Vitamin B12	19	ABCA1
Vitamin B12	3569	IL6
Vitamin B12	3643	INSR
Vitamin B12	4790	NFKB1
Vitamin B12	4791	NFKB2
Vitamin B12	4594	MMUT
Vitamin B12	4353	MPO
Vitamin B12	4552	MTRR
Vitamin B12	4036	LRP2
Vitamin B12	2694	CBLIF
Vitamin B12	3383	ICAM1
Vitamin B12	6291	SAA4
Vitamin B12	3458	IFNG
Vitamin B12	213	ALB
Vitamin B12	335	APOA1
Vitamin B12	338	APOB
Vitamin B12	6647	SOD1
Vitamin B12	6649	SOD3
Vitamin B12	4548	MTR
Vitamin B12	6648	
Vitamin B12	5054	SERPINE1
Vitamin B12	5970	RELA
Vitamin B12	1491	CTH
Vitamin B12	3949	LDLR
Vitamin B12	1401	CRP
Vitamin B12	348	APOE
Vitamin B12	84693	MCEE
Vitamin B12	5327	PLAT
Vitamin B12	949	SCARB1
Immune cells	9760	TOX
Immune cells	7124	TNF
Immune cells	2672	GFI1
Immune cells	196	AHR
Immune cells	6095	RORA
Immune cells	2625	GATA3
Immune cells	374	AREG
Immune cells	6927	HNF1A
Immune cells	64806	IL25
Immune cells	3458	IFNG
Immune cells	3578	IL9
Immune cells	51561	IL23A
Immune cells	3553	IL1B
Immune cells	30009	TBX21
Immune cells	50616	IL22
Immune cells	85480	TSLP
Immune cells	8320	EOMES
Immune cells	4783	NFIL3
Immune cells	3398	ID2
Immune cells	3574	IL7
Immune cells	3596	IL13
Immune cells	3593	IL12B
Immune cells	3592	IL12A
Immune cells	3569	IL6
Immune cells	64919	BCL11B
Immune cells	3600	IL15
Immune cells	3567	IL5
Immune cells	3565	IL4
Immune cells	90865	IL33
Immune cells	7704	ZBTB16
Immune cells	3606	IL18
Immune cells	3605	IL17A
Metabolism	6098	ROS1
Metabolism	4790	NFKB1
Metabolism	3091	HIF1A
Metabolism	7019	TFAM
Metabolism	5468	PPARG
Metabolism	23410	SIRT3
Metabolism	23411	SIRT1
Metabolism	10135	NAMPT
Metabolism	2309	FOXO3
Metabolism	2308	FOXO1
Metabolism	142	PARP1
Inflammation	3681	ITGAD
Inflammation	7124	TNF
Inflammation	1282	COL4A1
Inflammation	3162	HMOX1
Inflammation	581	BAX
Inflammation	5293	PIK3CD
Inflammation	3569	IL6
Inflammation	596	BCL2
Inflammation	1401	CRP
Inflammation	2335	FN1
Inflammation	896	CCND3
Inflammation	3576	CXCL8
Inflammation	1001	CDH3
Inflammation	3909	LAMA3
Inflammation	5742	PTGS1
Inflammation	10000	AKT3
Inflammation	5743	PTGS2
Inflammation	4798	NFRKB
Inflammation	5747	PTK2
NFkB	7099	TLR4
NFkB	7100	TLR5
NFkB	92610	TIFA
NFkB	7335	UBE2V1
NFkB	3552	IL1A
NFkB	7097	TLR2
NFkB	7096	TLR1
NFkB	81793	TLR10
NFkB	10333	TLR6
NFkB	3725	JUN
NFkB	7422	VEGFA
NFkB	3383	ICAM1
NFkB	1437	CSF2
NFkB	595	CCND1
NFkB	3558	IL2
NFkB	332	BIRC5
