entrezgene	hgnc_symbol
7124	TNF
1401	CRP
3576	CXCL8
7040	TGFB1
3569	IL6
3553	IL1B
5743	PTGS2
3952	LEP
3458	IFNG
7097	TLR2
4282	MIF
9370	ADIPOQ
3586	IL10
7099	TLR4
3383	ICAM1
3605	IL17A
3162	HMOX1
6347	CCL2
4318	MMP9
3146	HMGB1
2150	F2RL1
4353	MPO
7422	VEGFA
6647	SOD1
627	BDNF
3557	IL1RN
5468	PPARG
7442	TRPV1
142	PARP1
114548	NLRP3
3596	IL13
4843	NOS2
54106	TLR9
2833	CXCR3
85480	TSLP
9966	TNFSF15
1437	CSF2
4313	MMP2
7076	TIMP1
4982	TNFRSF11B
6863	TAC1
7356	SCGB1A1
4057	LTF
5465	PPARA
335	APOA1
177	AGER
3934	LCN2
4803	NGF
2247	FGF2
7349	UCN
1241	LTB4R
3620	IDO1
2149	F2R
623	BDKRB1
5329	PLAUR
9536	PTGES
10544	PROCR
196	AHR
624	BDKRB2
7161	TP73
2588	GALNS
8942	KYNU
9373	PLAA
9948	WDR1
407004	MIR22
540	ATP7B
1947	EFNB1
406999	MIR217
7039	TGFA
6356	CCL11
6774	STAT3
3552	IL1A
6348	CCL3
834	CASP1
7128	TNFAIP3
2920	CXCL2
11277	TREX1
7018	TF
4615	MYD88
5244	ABCB4
30009	TBX21
796	CALCA
3717	JAK2
6351	CCL4
1906	EDN1
2625	GATA3
4879	NPPB
207	AKT1
7037	TFRC
407040	MIR34A
885	CCK
9971	NR1H4
10747	MASP2
6584	SLC22A5
183	AGT
284	ANGPT1
6097	RORC
2056	EPO
282617	IFNL3
1280	COL2A1
5020	OXT
1958	EGR1
51083	GAL
8989	TRPA1
1395	CRHR2
3665	IRF7
7249	TSC2
10019	SH2B3
5734	PTGER4
55829	SELENOS
7538	ZFP36
114131	UCN3
916	CD3E
6820	SULT2B1
5770	PTPN1
54982	CLN6
1978	EIF4EBP1
41	ASIC1
412	STS
11221	DUSP10
9311	ASIC3
40	ASIC2
1137	CHRNA4
1141	CHRNB2
12	SERPINA3
6927	HNF1A
8638	OASL
6364	CCL20
1991	ELANE
5657	PRTN3
4790	NFKB1
3606	IL18
51561	IL23A
6376	CX3CL1
7057	THBS1
5624	PROC
64127	NOD2
3627	CXCL10
4314	MMP3
958	CD40
56729	RETN
5970	RELA
5054	SERPINE1
10392	NOD1
90865	IL33
6696	SPP1
727	C5
4846	NOS3
1235	CCR6
5328	PLAU
3308	HSPA4
133	ADM
1269	CNR2
4908	NTF3
6366	CCL21
8740	TNFSF14
634	CEACAM1
7132	TNFRSF1A
959	CD40LG
6352	CCL5
50943	FOXP3
1080	CFTR
